issue_id,source_group_id,revision,title,creator,year,date,repository,source_url,status
101239161.nlm.nih.gov,american-cookery-magazine,rev2,"A new system of domestic cookery : formed upon principles of economy, and adapted to the use of private families","Rundell, Maria Eliza Ketelby, 1745-1828",1807,1807-01-01T00:00:00Z,Internet Archive,https://archive.org/details/101239161.nlm.nih.gov,issue_candidate
seventyfiverecei00lesl,american-cookery-magazine,rev2,"Seventy-five receipts for pastry, cakes, and sweetmeats.","['Leslie, Eliza, 1787-1858', 'Lady of Philadelphia']",1828,1828-01-01T00:00:00Z,Internet Archive,https://archive.org/details/seventyfiverecei00lesl,issue_candidate
101091388.nlm.nih.gov,american-cookery-magazine,rev2,"MacKenzie's five thousand receipts in all the useful and domestic arts : constituting a complete practical library ... : a new American, from the latest London edition : with numerous and important additions generally : and the medical part carefully revised and adapted to the climate of the U. States : and also a new and most copious index","MacKenzie, Colin, 1775?-1827",1829,1829-01-01T00:00:00Z,Internet Archive,https://archive.org/details/101091388.nlm.nih.gov,issue_candidate
practicalamerica00hall,american-cookery-magazine,rev2,Practical American cookery and domestic economy,"Hall, E. M. ( Elizabeth M.)",1856,1856-01-01T00:00:00Z,Internet Archive,https://archive.org/details/practicalamerica00hall,issue_candidate
practical-american-cookery,american-cookery-magazine,rev2,Practical American Cookery and Domestic Economy,"Hall, Elizabeth M.",1856,1856-01-01T00:00:00Z,Internet Archive,https://archive.org/details/practical-american-cookery,issue_candidate
practicalameric00hallgoog,american-cookery-magazine,rev2,Practical American cookery and domestic economy,"Hall, E. M. ( Elizabeth M.)",1856,1856-01-01T00:00:00Z,Internet Archive,https://archive.org/details/practicalameric00hallgoog,issue_candidate
jenniejunesameri00crol_1,american-cookery-magazine,rev2,"Jennie June's American cookery book : containing upwards of twelve hundred choice and carefully tested receipts, embracing all the popular dishes, and the best results of modern science ... Also, a chapter for invalids, for infants, one on Jewish cookery, and a variety of miscellaneous receipts ...","Croly, J. C. (Jane Cunningham), 1829-1901",1866,1866-01-01T00:00:00Z,Internet Archive,https://archive.org/details/jenniejunesameri00crol_1,issue_candidate
jenniejunesamer00conggoog,american-cookery-magazine,rev2,Jennie June's American Cookery Book: Containing Upwards of Twelve Hundred Choice and Carefully ...,"Jane Cunningham Croly , Elizabeth Robins Pennell Collection (Library of Congress)",1866,1866-01-01T00:00:00Z,Internet Archive,https://archive.org/details/jenniejunesamer00conggoog,issue_candidate
jenniejunesameri00crol,american-cookery-magazine,rev2,"Jennie June's American cookery book, containing upwards of twelve hundred choice and carefully tested receipts, embracing all the popular dishes, and the best results of modern science ... Also, a chapter for invalids, for infants, one on Jewish cookery, and a variety of miscellaneous receipts ..","['Croly, J. C. (Jane Cunningham), 1829-1901', 'Elizabeth Robins Pennell Collection (Library of Congress) DLC']",1866,1866-01-01T00:00:00Z,Internet Archive,https://archive.org/details/jenniejunesameri00crol,issue_candidate
jenniejunesameri00crol_2,american-cookery-magazine,rev2,"Jennie June's American cookery book : containing upwards of twelve hundred choice and carefully tested receipts : embracing all the popular dishes, and the best results of modern science, reduced to a simple and practical form : also, a chapter for invalids, for infants, one on Jewish cookery, and a variety of miscellaneous receipts of special value to housekeepers generally","Croly, J. C. (Jane Cunningham), 1829-1901 author",1867,1867-01-01T00:00:00Z,Internet Archive,https://archive.org/details/jenniejunesameri00crol_2,issue_candidate
jenniejunesamer00crolgoog,american-cookery-magazine,rev2,Jennie June's American cookery book,"Croly, Jane (Cunningham), Mrs., 1829-1901. [from old catalog]",1878,1878-01-01T00:00:00Z,Internet Archive,https://archive.org/details/jenniejunesamer00crolgoog,issue_candidate
jenniejunesameri00crol_0,american-cookery-magazine,rev2,Jennie June's American cookery book : containing upwards of twelve hundred choice and carefully tested recipts ...,"Croly, J. C. (Jane Cunningham), 1829-1901",1878,1878-01-01T00:00:00Z,Internet Archive,https://archive.org/details/jenniejunesameri00crol_0,issue_candidate
