"candidate_id","issue_id","source_group_id","revision","year","title_guess","context","source_url","ocr_text_url","status"
"101091388.nlm.nih.gov-2771","101091388.nlm.nih.gov","american-cookery-magazine","rev2","1829","the  paste,  and  exposed  to  a  proper  degree  of  heat.","These are to be ground into a paste upon a fine stone with a muller; the substance to be silvered must be rubbed over with a sufficient quantity of the paste, and exposed to a proper degree of heat. Where the silver runs, it is taken from the fire, and dipped into weak spirit of salt to clean 't. Silvering on gilt work, by amalgamation. Silver will not attach itself to any metal by amal- gamation, unless it be first gilt. The process is the same as gilding in colours, only no acid should be used. To silver in the cold way. Take two drachms of each, tartar and common salt; \ a drachm of alum, and 20 grains of silver, precipitated from the nitrous acid by copper; make them into a paste with a little water. This is to be","https://archive.org/details/101091388.nlm.nih.gov","https://archive.org/download/101091388.nlm.nih.gov/101091388_djvu.txt","needs_review"
"101091388.nlm.nih.gov-2784","101091388.nlm.nih.gov","american-cookery-magazine","rev2","1829","them  into  a  paste  with  a  little  water.  This  is  to  be","Take two drachms of each, tartar and common salt; \ a drachm of alum, and 20 grains of silver, precipitated from the nitrous acid by copper; make them into a paste with a little water. This is to be rubbed on the surface to be silvered with a cork, &c. Another method. — Dissolve pure silver in aqua fortis, and precipitate the silver with common salt; make this precipitate into a paste, by adding a little more salt and cream of tartar. It is applied as in the former method. To separate the silver from plated copper. _ This process is applied lo recover the silver from 18","https://archive.org/details/101091388.nlm.nih.gov","https://archive.org/download/101091388.nlm.nih.gov/101091388_djvu.txt","needs_review"
"101091388.nlm.nih.gov-4014","101091388.nlm.nih.gov","american-cookery-magazine","rev2","1829","tion of  pounding  forms  it  into  a  paste,  break  it  with","oily portions, which alter its consistence, 6 or 7 oz. Reduce the amber to powder, and if the opera- tion of pounding forms it into a paste, break it with your fingers: then mix it with the essence, and heat the whole in a balneum marise. It will speedily dissolve, and the essence will take up, at the least, a fourth part of its weight of the prepared amber. When one coating of it is applied to white smooth wood, but without any preparation, it forms a very pure and very durable glazing, which speedily dries, but slower than copal varnish. Fat amber or copal varnish. Take of amber or copal of one fusion, 4 oz. es-","https://archive.org/details/101091388.nlm.nih.gov","https://archive.org/download/101091388.nlm.nih.gov/101091388_djvu.txt","needs_review"
"101091388.nlm.nih.gov-4931","101091388.nlm.nih.gov","american-cookery-magazine","rev2","1829","whole  being  thus  arranged,  a  liquid  paste  made","means the cloth can be easily stretched or relaxed, when the oily varnish has exercised an action on its texture in tne course of the operation. The whole being thus arranged, a liquid paste made with drying oil, which may be varied at pleasure, is applied to the cloth. To make liqirid paste -with drying oil. Mix Spanish white or tobacco-pipe clay, or any other argillaceous matter, with water, and leave it at rest some hours, which will be sufficient to sepa- rate the argillaceous parts, and to produce a sedi- ment. Stir the sediment with a broom, to com- plete the division of the earth ; and after it has rested some seconds, decant the turbid water into an earthen or wooden vessel. By this process the","https://archive.org/details/101091388.nlm.nih.gov","https://archive.org/download/101091388.nlm.nih.gov/101091388_djvu.txt","needs_review"
"101091388.nlm.nih.gov-4935","101091388.nlm.nih.gov","american-cookery-magazine","rev2","1829","To  make  liqirid  paste  -with  drying  oil.","with drying oil, which may be varied at pleasure, is applied to the cloth. To make liqirid paste -with drying oil. Mix Spanish white or tobacco-pipe clay, or any other argillaceous matter, with water, and leave it at rest some hours, which will be sufficient to sepa- rate the argillaceous parts, and to produce a sedi- ment. Stir the sediment with a broom, to com- plete the division of the earth ; and after it has rested some seconds, decant the turbid water into an earthen or wooden vessel. By this process the earth will be separated from the sand and other foreign bodies, which are precipitated, and which must be thrown away. If the earth has been washed by the same process, on a large scale, it is","https://archive.org/details/101091388.nlm.nih.gov","https://archive.org/download/101091388.nlm.nih.gov/101091388_djvu.txt","needs_review"
"101091388.nlm.nih.gov-5308","101091388.nlm.nih.gov","american-cookery-magazine","rev2","1829","Make  a  paste  of  the  flour,  and  whilst  hot,  put  in","black, a quarter of a pound of moist sugar, a table- spoonful of flour, a piece of tallow about the size of a walnut, and a small piece of gum-arabic. Make a paste of the flour, and whilst hot, put in the tallow, then the sugar, and afterward* mix the whole well together in a quart of water. To render leather -water proof. This is done by rubbing or brushing into the leather a mixture of drying oils, and any of the ox- ides or calxes of lead, copper, or iron; or by sub- stituting any of the gummy resins, in the room of the metallic oxides. — Repertory, vol. x. To make varnish for coloured drawings. Take of Canada balsam one ounce, spirit of tur-","https://archive.org/details/101091388.nlm.nih.gov","https://archive.org/download/101091388.nlm.nih.gov/101091388_djvu.txt","needs_review"
"101091388.nlm.nih.gov-5328","101091388.nlm.nih.gov","american-cookery-magazine","rev2","1829","To  make  furniture  paste.","ter; and when dry, apply the varnish with a camci's- hair brush. To make furniture paste. Scrape t'our ounces of bees' wax into a basin, and add as much oil of turpentine as will moisten it through. Now powder a quarter of an ounce of resin, and add as much Indian red as will bring it to a deep mahogany colour. When the composi- tion is properly stirred up, it will prove an excel- lent cement or paste for blemishes in mahogany, and other furniture. Another method. — Scrape four ounces of bees' wax as before. To a pint of oil of turpentine, in a glazed pipkin, add an ounce of alkanet-root. Co-","https://archive.org/details/101091388.nlm.nih.gov","https://archive.org/download/101091388.nlm.nih.gov/101091388_djvu.txt","needs_review"
"101091388.nlm.nih.gov-5336","101091388.nlm.nih.gov","american-cookery-magazine","rev2","1829","lent cement  or  paste  for  blemishes  in  mahogany,","resin, and add as much Indian red as will bring it to a deep mahogany colour. When the composi- tion is properly stirred up, it will prove an excel- lent cement or paste for blemishes in mahogany, and other furniture. Another method. — Scrape four ounces of bees' wax as before. To a pint of oil of turpentine, in a glazed pipkin, add an ounce of alkanet-root. Co- ver it close, and put it over a slow fire, attending it carefully that it may not boil o\er, or catch fire. When the liquid is of a deep red, add as much of it to the wax as will moisten it through, also a quarter of an ounce of powdered resin. Cover the whole close, and let it stand six hours, when it will be fit for use.","https://archive.org/details/101091388.nlm.nih.gov","https://archive.org/download/101091388.nlm.nih.gov/101091388_djvu.txt","needs_review"
"101239161.nlm.nih.gov-1016","101239161.nlm.nih.gov","american-cookery-magazine","rev2","1807","it  with  paste.","Cut the eels in lengths of two or three inches : season with pepper and salt, and place in the dish, with some bits of butter and a little water, and cover it with paste. S/iitchcock Eels. Take a large one, leave the skin on, cut it in pieces of four inches long, open it on the belly side, and clean it nicely : wipe it dry, and then wet it with a beaten egg, and streV it over on both sides with chopped parsley, pepper, salt, a very little sage, and a bit of mace pounded fine, and mixed with the seasoning. Rub the gridiron with a bit of suet, and broil the fish of a fine colour. Serve with anchovy and butter for sauce.","https://archive.org/details/101239161.nlm.nih.gov","https://archive.org/download/101239161.nlm.nih.gov/101239161_djvu.txt","needs_review"
"101239161.nlm.nih.gov-1216","101239161.nlm.nih.gov","american-cookery-magazine","rev2","1807","Lobster  Pie.","the gravy as above. It must be dressed at table, and eaten immediately. Lobster Pie. Boil two lobsters, or three small ; take out the tails, cut them in two, take out the gut, cut each in four pieces and lay them in a small dish. Put in then the meat of the claws, and that you have picked out of the body ; pick off the furry parts from the latter, and take out the lady ; then take the spawn, beat it in a mortar, likewise all the shells. Set them on to stew with some water, two or three spoonfuls of vinegar, pepper, salt, and some pounded mace. A large piece of butter, rolled in flour, must be added when the goodness of the shells is ob- tained. Give a boil or two and pour into the dish","https://archive.org/details/101239161.nlm.nih.gov","https://archive.org/download/101239161.nlm.nih.gov/101239161_djvu.txt","needs_review"
